ricercatore	count
bonora gian maria	3
careri maria	3
tucciarelli tullio	3
gallo monica	3
chittolini giorgio	3
conte alberto	3
dello russo antonio	3
chiariotti lorenzo	3
crecchio carmine	3
martinelli pasquale	3
arvind h patel	3
rasulo giacomo	3
di santo roberto	3
d'alessio antonio	3
sborgi franco	3
caputo paolo	3
ranci ortigosa costanzo	3
viscomi antonio	3
rubba paolo osvaldo	3
vittadini giorgio	3
sansone carlo	3
roperto franco peppino	3
buono pasqualina	3
magagnini pier luigi	3
iorio gabriele	3
gliozzi alessandra	3
marletta giovanni	3
bruzzone lorenzo	3
trimarchi francesco	3
magistrale francesco	3
sabia liliana	3
marinelli valerio	3
gusella vittorio	3
russo saverio	3
cecchetti violetta	3
lombardi giorgio	2
zappacosta serafino	2
bruni francesco	2
gaiani marco	2
lo faro giovanni	2
forzatti pio	2
forti gianni	2
limonta patrizia	2
libonati massimo	2
leone antonietta	2
ferone diego	2
fantasia ugo	2
senatore francesco	2
fais silvana	2
brancaccio mara	2
zannini mariastella	2
selvafolta ornella	2
bonetti stefano	2
davino mario	2
tagliafico luca antonio	2
d'erme maria	2
ambesi impiombato francesco saverio	2
blasi francesco	2
urciuoli gianfranco	2
polimeno antonino	2
umeton cesare paolo	2
bianco giovanni	2
poglayen giovanni	2
corradi anna	2
dragoni ivan giuseppe	2
conte ubaldo	2
cutrignelli monica isabella	2
scarpelli giuseppe	2
bernieri andrea	2
trovalusci patrizia	2
benvenuti elena	2
ceccon paolo	2
pisaneschi andrea	2
pirrotta antonina	2
casali carlo	2
carboni ezio	2
treccani gian paolo	2
tortorella vincenzo	2
bazzini luciana	2
ingenito aniello	2
battini stefano	2
battilani paola	2
basosi riccardo	2
scotti di uccio umberto	2
barresi gaetano	2
bozza silvia	2
barone vincenzo	2
boni laurita	2
iannetti giorgio	2
iametti stefania	2
lo casto salvatore francesco	2
blasi cesare	2
berti matteo	2
balducci renato	2
baldoni roberto	2
piattelli adriano	2
barone guido	2
piacentini silvia	2
pezzinga giuseppe	2
pettorino massimo	2
baccarelli enzo	2
titomanlio giuseppe	2
rutigliano flora angela	2
avesani rino	2
astori bruno	2
granata riccarda	2
accardo alberto francesco	2
alma alberto	2
giuffre' rosario	2
giuditta antonio	2
andriollo mauro	2
zanon paolo	2
persechino angelo	2
perrotta silverio	2
giorleo giuseppe	2
perrotta giuseppe	2
perrelli raffaele	2
gilibert giorgio	2
salamini francesco	2
vegni lucio	2
vegni guido	2
monateri pier giuseppe	2
sabbatino pasquale	2
giannola adriano	2
velotti francesca romana	2
tironi gino	2
tesi romano	2
adinolfi matteo	2
adamo francesco	2
ricchetti giustino	2
serio mario	2
parenti giancarlo	2
scarpa aldo	2
zorzetti nevio	2
zignani flavio	2
zavaroni ivana	2
papini anna maria	2
sambo paolo	2
zanini ermanno	2
russo guido	2
rota renato	2
matilde valeria ursini	2
zagari adriana	2
ronchi antonella ellena	2
rindi salvo	2
gazzaniga andrea	2
romanelli maria novella	2
vitturi andrea	2
vistoli angelo	2
garro giuseppina	2
vigorito carlo	2
garozzo domenico	2
ramponi giampietro	2
poggi carlo	2
gangemi virginia	2
veronesi fabio	2
pacciarelli marco	2
vaccaro vittorio giorgio	2
squadrito francesco	2
porcellini antonio	2
gambardella dora	2
varrone stelio	2
pagnini ugo	2
marcialis maria teresa	2
valoti massimo	2
nunziante luciano	2
smulevich giulietta	2
galfetti luciano	2
nuzzo luigi	2
